reporterISO,reporter,partnerISO,partner,sector,commodity_code,commodity,trade_value_usd,year,flow
TUR,Türkiye,LVA,Latvia,electronics,84,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",15676572.0,2025,Export
TUR,Türkiye,LVA,Latvia,electronics,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",41030180.0,2025,Export
TUR,Türkiye,LVA,Latvia,electronics,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",41030180.0,2025,Export
TUR,Türkiye,MAC,"China, Macao SAR",electronics,84,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",8.0,2025,Export
TUR,Türkiye,MAC,"China, Macao SAR",electronics,84,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",8.0,2025,Export
TUR,Türkiye,MAC,"China, Macao SAR",electronics,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",618.0,2025,Export
TUR,Türkiye,MAC,"China, Macao SAR",electronics,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",618.0,2025,Export
TUR,Türkiye,MAR,Morocco,electronics,84,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",369236207.0,2025,Export
TUR,Türkiye,MAR,Morocco,electronics,84,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",369236207.0,2025,Export
TUR,Türkiye,MAR,Morocco,electronics,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",175970742.0,2025,Export
TUR,Türkiye,MAR,Morocco,electronics,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",175970742.0,2025,Export
TUR,Türkiye,MDA,Rep. of Moldova,electronics,84,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",59259520.0,2025,Export
TUR,Türkiye,MDA,Rep. of Moldova,electronics,84,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",59259520.0,2025,Export
TUR,Türkiye,MDA,Rep. of Moldova,electronics,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",30083467.0,2025,Export
TUR,Türkiye,MDA,Rep. of Moldova,electronics,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",30083467.0,2025,Export
TUR,Türkiye,MDG,Madagascar,electronics,84,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",3618949.0,2025,Export
TUR,Türkiye,MDG,Madagascar,electronics,84,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",3618949.0,2025,Export
TUR,Türkiye,MDG,Madagascar,electronics,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",2007160.0,2025,Export
TUR,Türkiye,MDG,Madagascar,electronics,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",2007160.0,2025,Export
TUR,Türkiye,MDV,Maldives,electronics,84,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",9990367.0,2025,Export
TUR,Türkiye,MDV,Maldives,electronics,84,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",9990367.0,2025,Export
TUR,Türkiye,MDV,Maldives,electronics,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",8965134.0,2025,Export
TUR,Türkiye,MDV,Maldives,electronics,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",8965134.0,2025,Export
TUR,Türkiye,MEX,Mexico,electronics,84,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",192670979.0,2025,Export
TUR,Türkiye,MEX,Mexico,electronics,84,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",192670979.0,2025,Export
TUR,Türkiye,MEX,Mexico,electronics,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",57685385.0,2025,Export
TUR,Türkiye,MEX,Mexico,electronics,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",57685385.0,2025,Export
TUR,Türkiye,MHL,Marshall Isds,electronics,84,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",4566522.0,2025,Export
TUR,Türkiye,MHL,Marshall Isds,electronics,84,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",4566522.0,2025,Export
TUR,Türkiye,MHL,Marshall Isds,electronics,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",7524712.0,2025,Export
TUR,Türkiye,MHL,Marshall Isds,electronics,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",7524712.0,2025,Export
TUR,Türkiye,MKD,North Macedonia,electronics,84,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",73069596.0,2025,Export
TUR,Türkiye,MKD,North Macedonia,electronics,84,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",73069596.0,2025,Export
TUR,Türkiye,MKD,North Macedonia,electronics,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",65113329.0,2025,Export
TUR,Türkiye,MKD,North Macedonia,electronics,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",65113329.0,2025,Export
TUR,Türkiye,MLI,Mali,electronics,84,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",6097552.0,2025,Export
TUR,Türkiye,MLI,Mali,electronics,84,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",6097552.0,2025,Export
TUR,Türkiye,MLI,Mali,electronics,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",6579752.0,2025,Export
TUR,Türkiye,MLI,Mali,electronics,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",6579752.0,2025,Export
TUR,Türkiye,MLT,Malta,electronics,84,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",21095840.0,2025,Export
TUR,Türkiye,MLT,Malta,electronics,84,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",21095840.0,2025,Export
TUR,Türkiye,MLT,Malta,electronics,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",30080940.0,2025,Export
TUR,Türkiye,MLT,Malta,electronics,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",30080940.0,2025,Export
TUR,Türkiye,MMR,Myanmar,electronics,84,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",496106.0,2025,Export
TUR,Türkiye,MMR,Myanmar,electronics,84,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",496106.0,2025,Export
TUR,Türkiye,MMR,Myanmar,electronics,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",222143.0,2025,Export
TUR,Türkiye,MMR,Myanmar,electronics,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",222143.0,2025,Export
TUR,Türkiye,MNE,Montenegro,electronics,84,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",17129852.0,2025,Export
TUR,Türkiye,MNE,Montenegro,electronics,84,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",17129852.0,2025,Export
TUR,Türkiye,MNE,Montenegro,electronics,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",26658748.0,2025,Export
TUR,Türkiye,MNE,Montenegro,electronics,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",26658748.0,2025,Export
TUR,Türkiye,MNG,Mongolia,electronics,84,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",11034662.0,2025,Export
TUR,Türkiye,MNG,Mongolia,electronics,84,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",11034662.0,2025,Export
TUR,Türkiye,MNG,Mongolia,electronics,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",8353186.0,2025,Export
TUR,Türkiye,MNG,Mongolia,electronics,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",8353186.0,2025,Export
TUR,Türkiye,MNP,N. Mariana Isds,electronics,84,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",14293.0,2025,Export
TUR,Türkiye,MNP,N. Mariana Isds,electronics,84,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",14293.0,2025,Export
TUR,Türkiye,MNP,N. Mariana Isds,electronics,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",336806.0,2025,Export
TUR,Türkiye,MNP,N. Mariana Isds,electronics,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",336806.0,2025,Export
TUR,Türkiye,MOZ,Mozambique,electronics,84,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",3518649.0,2025,Export
TUR,Türkiye,MOZ,Mozambique,electronics,84,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",3518649.0,2025,Export
TUR,Türkiye,MOZ,Mozambique,electronics,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",7163644.0,2025,Export
TUR,Türkiye,MOZ,Mozambique,electronics,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",7163644.0,2025,Export
TUR,Türkiye,MRT,Mauritania,electronics,84,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",20436489.0,2025,Export
TUR,Türkiye,MRT,Mauritania,electronics,84,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",20436489.0,2025,Export
TUR,Türkiye,MRT,Mauritania,electronics,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",20110805.0,2025,Export
TUR,Türkiye,MRT,Mauritania,electronics,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",20110805.0,2025,Export
TUR,Türkiye,MUS,Mauritius,electronics,84,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",6887455.0,2025,Export
TUR,Türkiye,MUS,Mauritius,electronics,84,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",6887455.0,2025,Export
TUR,Türkiye,MUS,Mauritius,electronics,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",13611728.0,2025,Export
TUR,Türkiye,MUS,Mauritius,electronics,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",13611728.0,2025,Export
TUR,Türkiye,MWI,Malawi,electronics,84,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",642643.0,2025,Export
TUR,Türkiye,MWI,Malawi,electronics,84,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",642643.0,2025,Export
TUR,Türkiye,MWI,Malawi,electronics,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",163241.0,2025,Export
TUR,Türkiye,MWI,Malawi,electronics,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",163241.0,2025,Export
TUR,Türkiye,MYS,Malaysia,electronics,84,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",26916599.0,2025,Export
