typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20250101","2025","52","2025","32","ARG","Argentina","X","Export","170","COL","Colombia","0","W00","World","H6","HS","true","87","Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"389057808.58","389057808.58","0","false","true",
"C","A","20250101","2025","52","2025","32","ARG","Argentina","X","Export","340","HND","Honduras","0","W00","World","H6","HS","true","87","Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"34844744.06","34844744.06","0","false","true",
"C","A","20250101","2025","52","2025","32","ARG","Argentina","X","Export","380","ITA","Italy","0","W00","World","H6","HS","true","87","Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"434952.48","434952.48","0","false","true",
"C","A","20250101","2025","52","2025","32","ARG","Argentina","X","Export","792","TUR","Türkiye","0","W00","World","H6","HS","true","87","Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"37576.4","37576.4","0","false","true",
"C","A","20250101","2025","52","2025","32","ARG","Argentina","X","Export","826","GBR","United Kingdom","0","W00","World","H6","HS","true","87","Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"78319.11","78319.11","0","false","true",
"C","A","20250101","2025","52","2025","32","ARG","Argentina","X","Export","842","USA","USA","0","W00","World","H6","HS","true","87","Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"7019276.18","7019276.18","0","false","true",
"C","A","20250101","2025","52","2025","32","ARG","Argentina","X","Export","188","CRI","Costa Rica","0","W00","World","H6","HS","true","87","Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"66695281.31","66695281.31","0","false","true",
"C","A","20250101","2025","52","2025","32","ARG","Argentina","X","Export","604","PER","Peru","0","W00","World","H6","HS","true","87","Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"450889045.72","450889045.72","0","false","true",
"C","A","20250101","2025","52","2025","32","ARG","Argentina","X","Export","218","ECU","Ecuador","0","W00","World","H6","HS","true","87","Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"33224191.77","33224191.77","0","false","true",
"C","A","20250101","2025","52","2025","32","ARG","Argentina","X","Export","222","SLV","El Salvador","0","W00","World","H6","HS","true","87","Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"1278745.81","1278745.81","0","false","true",
"C","A","20250101","2025","52","2025","32","ARG","Argentina","X","Export","392","JPN","Japan","0","W00","World","H6","HS","true","87","Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"52983.46","52983.46","0","false","true",
"C","A","20250101","2025","52","2025","32","ARG","Argentina","X","Export","616","POL","Poland","0","W00","World","H6","HS","true","87","Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"22508996.93","22508996.93","0","false","true",
"C","A","20250101","2025","52","2025","32","ARG","Argentina","X","Export","36","AUS","Australia","0","W00","World","H6","HS","true","87","Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"1797142.72","1797142.72","0","false","true",
"C","A","20250101","2025","52","2025","32","ARG","Argentina","X","Export","251","FRA","France","0","W00","World","H6","HS","true","87","Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"682920.48","682920.48","0","false","true",
"C","A","20250101","2025","52","2025","32","ARG","Argentina","X","Export","710","ZAF","South Africa","0","W00","World","H6","HS","true","87","Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"42536771.35","42536771.35","0","false","true",
"C","A","20250101","2025","52","2025","32","ARG","Argentina","X","Export","724","ESP","Spain","0","W00","World","H6","HS","true","87","Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"391154.11","391154.11","0","false","true",
"C","A","20250101","2025","52","2025","32","ARG","Argentina","X","Export","56","BEL","Belgium","0","W00","World","H6","HS","true","87","Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"42094.04","42094.04","0","false","true",
"C","A","20250101","2025","52","2025","32","ARG","Argentina","X","Export","68","BOL","Bolivia (Plurinational State of)","0","W00","World","H6","HS","true","87","Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"20678918.03","20678918.03","0","false","true",
"C","A","20250101","2025","52","2025","32","ARG","Argentina","X","Export","152","CHL","Chile","0","W00","World","H6","HS","true","87","Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"435251133.28","435251133.28","0","false","true",
